listing_id,seller_id,product_name,category,listed_price,competitor_price
LST-0000001,MNT-0001,Everyday Scarf,Accessories,550.74,536.52
LST-0000002,MNT-0001,Casual Scarf,Accessories,785.13,779.25
LST-0000003,MNT-0001,Classic Belt,Accessories,528.94,467.29
LST-0000004,MNT-0001,Designer Handbag,Accessories,244.6,227.1
LST-0000005,MNT-0001,Designer Belt,Accessories,733.83,843.9
LST-0000006,MNT-0001,Everyday Belt,Accessories,750.54,750.96
LST-0000007,MNT-0001,Trendy Wallet,Accessories,767.54,722.04
LST-0000008,MNT-0001,Classic Sunglasses,Accessories,654.02,664.95
LST-0000009,MNT-0001,Premium Wallet,Accessories,647.49,610.78
LST-0000010,MNT-0001,Everyday Scarf,Accessories,665.9,620.87
LST-0000011,MNT-0002,Classic Sneakers,Footwear,2391.19,2417.09
LST-0000012,MNT-0002,Classic Sandals,Footwear,1765.04,1677.35
LST-0000013,MNT-0002,Trendy Sneakers,Footwear,974.99,939.03
LST-0000014,MNT-0002,Signature Loafers,Footwear,1747.64,1766.93
LST-0000015,MNT-0002,Sport Sandals,Footwear,2763.82,2936.19
LST-0000016,MNT-0003,Classic Handbag,Accessories,588.03,651.83
LST-0000017,MNT-0003,Signature Wallet,Accessories,560.28,514.2
LST-0000018,MNT-0003,Classic Wallet,Accessories,620.98,689.45
LST-0000019,MNT-0003,Signature Sunglasses,Accessories,698.5,793.73
LST-0000020,MNT-0003,Everyday Scarf,Accessories,701.25,675.46
LST-0000021,MNT-0003,Festive Scarf,Accessories,706.52,702.72
LST-0000022,MNT-0003,Trendy Handbag,Accessories,508.8,450.58
LST-0000023,MNT-0003,Casual Sunglasses,Accessories,349.5,340.03
LST-0000024,MNT-0003,Handcrafted Sunglasses,Accessories,283.7,275.28
LST-0000025,MNT-0003,Designer Handbag,Accessories,600.9,524.12
LST-0000026,MNT-0003,Festive Sunglasses,Accessories,553.19,550.02
LST-0000027,MNT-0003,Signature Handbag,Accessories,519.83,490.75
LST-0000028,MNT-0003,Signature Sunglasses,Accessories,485.79,558.66
LST-0000029,MNT-0004,Premium Jacket,Western Wear,1730.47,1488.39
LST-0000030,MNT-0004,Everyday Jacket,Western Wear,1164.61,1220.73
LST-0000031,MNT-0004,Trendy Jacket,Western Wear,1673.94,1723.33
LST-0000032,MNT-0004,Premium Jeans,Western Wear,1555.1,1539.64
LST-0000033,MNT-0004,Premium Jacket,Western Wear,1199.84,1175.78
LST-0000034,MNT-0004,Classic T-Shirt,Western Wear,740.02,687.26
LST-0000035,MNT-0004,Festive T-Shirt,Western Wear,1946.25,1797.65
LST-0000036,MNT-0004,Festive Jeans,Western Wear,1574.65,1342.53
LST-0000037,MNT-0004,Casual Jeans,Western Wear,898.43,954.14
LST-0000038,MNT-0004,Everyday Skirt,Western Wear,1481.34,1703.54
LST-0000039,MNT-0004,Signature T-Shirt,Western Wear,1462.51,1362.8
LST-0000040,MNT-0004,Casual Jacket,Western Wear,1591.01,1502.69
LST-0000041,MNT-0004,Sport Jacket,Western Wear,1964.77,1754.9
LST-0000042,MNT-0004,Signature Skirt,Western Wear,947.63,963.76
LST-0000043,MNT-0004,Handcrafted Skirt,Western Wear,1455.47,1613.18
LST-0000044,MNT-0005,Everyday Anarkali,Ethnic Wear,1460.57,1491.26
LST-0000045,MNT-0005,Sport Lehenga,Ethnic Wear,1825.91,1803.1
LST-0000046,MNT-0005,Premium Saree,Ethnic Wear,2321.27,2341.02
LST-0000047,MNT-0005,Designer Sherwani,Ethnic Wear,2468.86,2577.71
LST-0000048,MNT-0005,Festive Saree,Ethnic Wear,2325.4,2463.75
LST-0000049,MNT-0006,Festive Cap,Sports,1787.32,1636.01
LST-0000050,MNT-0006,Trendy Cap,Sports,805.66,785.93
LST-0000051,MNT-0006,Classic Track Pants,Sports,1085.62,1052.62
LST-0000052,MNT-0006,Classic Track Pants,Sports,1743.65,2005.2
LST-0000053,MNT-0006,Premium Gym Bag,Sports,704.11,706.2
LST-0000054,MNT-0006,Casual Track Pants,Sports,1791.34,1905.73
LST-0000055,MNT-0006,Classic Track Pants,Sports,742.93,688.69
LST-0000056,MNT-0006,Sport Gym Bag,Sports,1995.02,1695.77
LST-0000057,MNT-0006,Designer Jersey,Sports,1775.48,1893.59
LST-0000058,MNT-0006,Festive Gym Bag,Sports,1171.97,1123.89
LST-0000059,MNT-0007,Designer Jacket,Western Wear,1904.56,1814.85
LST-0000060,MNT-0007,Casual Jacket,Western Wear,1361.91,1253.67
LST-0000061,MNT-0007,Everyday Dress,Western Wear,1561.93,1649.25
LST-0000062,MNT-0007,Trendy Jacket,Western Wear,1070.3,1116.5
LST-0000063,MNT-0007,Classic Skirt,Western Wear,1627.41,1480.28
LST-0000064,MNT-0007,Everyday T-Shirt,Western Wear,1268.44,1212.68
LST-0000065,MNT-0007,Casual Dress,Western Wear,1316.37,1291.43
LST-0000066,MNT-0007,Trendy Dress,Western Wear,753.11,712.64
LST-0000067,MNT-0007,Signature Jeans,Western Wear,610.31,568.15
LST-0000068,MNT-0008,Festive Handbag,Accessories,291.34,304.79
LST-0000069,MNT-0008,Classic Wallet,Accessories,618.47,696.41
LST-0000070,MNT-0008,Festive Sunglasses,Accessories,384.12,401.7
LST-0000071,MNT-0008,Trendy Handbag,Accessories,468.45,485.39
LST-0000072,MNT-0008,Sport Belt,Accessories,447.63,467.46
LST-0000073,MNT-0008,Festive Belt,Accessories,396.8,415.68
LST-0000074,MNT-0008,Casual Sunglasses,Accessories,449.61,458.89
LST-0000075,MNT-0008,Casual Belt,Accessories,427.26,404.13
LST-0000076,MNT-0008,Everyday Wallet,Accessories,736.24,709.55
LST-0000077,MNT-0009,Handcrafted Kurta Set,Ethnic Wear,1499.41,1419.62
LST-0000078,MNT-0009,Casual Sherwani,Ethnic Wear,1433.38,1532.55
LST-0000079,MNT-0009,Everyday Saree,Ethnic Wear,1571.54,1606.51
LST-0000080,MNT-0009,Sport Anarkali,Ethnic Wear,2454.32,2709.88
LST-0000081,MNT-0009,Premium Anarkali,Ethnic Wear,1575.79,1602.9
LST-0000082,MNT-0009,Signature Saree,Ethnic Wear,2101.29,2163.69
LST-0000083,MNT-0009,Sport Lehenga,Ethnic Wear,1287.62,1378.82
LST-0000084,MNT-0009,Trendy Anarkali,Ethnic Wear,1962.54,1873.23
LST-0000085,MNT-0009,Classic Anarkali,Ethnic Wear,2196.16,2473.06
LST-0000086,MNT-0009,Handcrafted Anarkali,Ethnic Wear,1226.71,1106.49
LST-0000087,MNT-0010,Classic Sneakers,Footwear,2262.22,2272.32
LST-0000088,MNT-0010,Sport Sandals,Footwear,2846.13,2783.62
LST-0000089,MNT-0010,Designer Heels,Footwear,1051.92,1041.22
LST-0000090,MNT-0010,Trendy Sandals,Footwear,2556.37,2656.23
LST-0000091,MNT-0010,Signature Running Shoes,Footwear,1996.57,2090.33
LST-0000092,MNT-0010,Designer Sandals,Footwear,1476.37,1697.83
LST-0000093,MNT-0010,Classic Running Shoes,Footwear,1920.69,1632.59
LST-0000094,MNT-0010,Designer Running Shoes,Footwear,2327.36,2430.56
LST-0000095,MNT-0010,Designer Loafers,Footwear,2949.33,2928.72
LST-0000096,MNT-0010,Sport Heels,Footwear,1298.95,1400.91
LST-0000097,MNT-0011,Classic Sneakers,Footwear,2540.41,2703.23
LST-0000098,MNT-0011,Casual Sandals,Footwear,659.49,681.96
LST-0000099,MNT-0011,Premium Sandals,Footwear,1239.0,1288.48
LST-0000100,MNT-0011,Signature Heels,Footwear,2506.11,2873.88
LST-0000101,MNT-0011,Trendy Heels,Footwear,2282.6,2101.66
LST-0000102,MNT-0011,Handcrafted Sandals,Footwear,2965.42,2919.84
LST-0000103,MNT-0011,Everyday Heels,Footwear,698.44,607.06
LST-0000104,MNT-0011,Trendy Heels,Footwear,2867.7,3171.62
LST-0000105,MNT-0011,Signature Sneakers,Footwear,2780.84,2654.07
LST-0000106,MNT-0011,Trendy Running Shoes,Footwear,782.67,864.48
LST-0000107,MNT-0011,Everyday Running Shoes,Footwear,560.56,476.48
LST-0000108,MNT-0011,Casual Running Shoes,Footwear,871.62,932.49
LST-0000109,MNT-0011,Festive Sneakers,Footwear,729.13,732.66
LST-0000110,MNT-0011,Casual Loafers,Footwear,1263.84,1162.98
LST-0000111,MNT-0011,Signature Sandals,Footwear,2453.75,2336.93
LST-0000112,MNT-0011,Premium Sandals,Footwear,1024.96,940.51
LST-0000113,MNT-0011,Festive Sneakers,Footwear,2951.6,2910.3
LST-0000114,MNT-0011,Handcrafted Sneakers,Footwear,2367.26,2475.65
LST-0000115,MNT-0011,Handcrafted Sandals,Footwear,2284.42,2441.41
LST-0000116,MNT-0011,Sport Heels,Footwear,2482.68,2359.69
LST-0000117,MNT-0011,Premium Running Shoes,Footwear,939.91,1080.9
LST-0000118,MNT-0011,Signature Sandals,Footwear,1227.03,1174.92
LST-0000119,MNT-0011,Sport Running Shoes,Footwear,1783.11,1747.57
LST-0000120,MNT-0011,Festive Loafers,Footwear,780.54,663.46
LST-0000121,MNT-0011,Premium Heels,Footwear,1141.37,1198.41
LST-0000122,MNT-0011,Handcrafted Loafers,Footwear,2369.47,2175.44
LST-0000123,MNT-0011,Trendy Heels,Footwear,1661.73,1720.25
LST-0000124,MNT-0011,Signature Loafers,Footwear,2203.3,1872.81
LST-0000125,MNT-0011,Designer Loafers,Footwear,1450.14,1487.6
LST-0000126,MNT-0011,Trendy Heels,Footwear,2221.69,2439.43
LST-0000127,MNT-0012,Festive Cap,Sports,1471.76,1350.4
LST-0000128,MNT-0012,Casual Cap,Sports,438.75,434.11
LST-0000129,MNT-0012,Sport Cap,Sports,832.44,714.66
LST-0000130,MNT-0012,Trendy Yoga Mat,Sports,1991.32,2143.57
LST-0000131,MNT-0012,Everyday Gym Bag,Sports,945.81,844.2
LST-0000132,MNT-0012,Classic Jersey,Sports,1901.36,2012.98
LST-0000133,MNT-0012,Trendy Track Pants,Sports,1489.12,1265.75
LST-0000134,MNT-0012,Premium Yoga Mat,Sports,1719.26,1572.42
LST-0000135,MNT-0012,Handcrafted Track Pants,Sports,1103.23,1114.95
LST-0000136,MNT-0012,Classic Yoga Mat,Sports,1893.69,2033.83
LST-0000137,MNT-0012,Casual Cap,Sports,1928.5,1983.84
LST-0000138,MNT-0012,Handcrafted Cap,Sports,723.59,723.15
LST-0000139,MNT-0012,Signature Gym Bag,Sports,1573.25,1430.54
LST-0000140,MNT-0012,Signature Yoga Mat,Sports,885.11,947.33
LST-0000141,MNT-0012,Designer Gym Bag,Sports,1453.74,1660.4
LST-0000142,MNT-0012,Festive Cap,Sports,1660.82,1737.86
LST-0000143,MNT-0012,Signature Cap,Sports,972.33,1118.18
LST-0000144,MNT-0012,Festive Yoga Mat,Sports,1684.58,1503.05
LST-0000145,MNT-0012,Classic Jersey,Sports,1784.45,1760.79
LST-0000146,MNT-0012,Casual Track Pants,Sports,1863.7,1586.21
LST-0000147,MNT-0012,Festive Gym Bag,Sports,412.84,412.89
LST-0000148,MNT-0012,Sport Gym Bag,Sports,503.0,577.61
LST-0000149,MNT-0012,Classic Jersey,Sports,1579.35,1580.52
LST-0000150,MNT-0012,Classic Jersey,Sports,1638.57,1467.67
LST-0000151,MNT-0012,Premium Track Pants,Sports,1786.8,1871.7
LST-0000152,MNT-0012,Signature Yoga Mat,Sports,1147.26,1153.7
LST-0000153,MNT-0013,Signature T-Shirt,Western Wear,1160.21,1200.96
LST-0000154,MNT-0013,Sport Jacket,Western Wear,825.5,860.73
LST-0000155,MNT-0013,Handcrafted Jacket,Western Wear,1560.67,1597.09
LST-0000156,MNT-0013,Casual T-Shirt,Western Wear,848.29,954.75
LST-0000157,MNT-0013,Signature T-Shirt,Western Wear,1231.66,1209.06
LST-0000158,MNT-0013,Everyday T-Shirt,Western Wear,762.55,765.87
LST-0000159,MNT-0013,Everyday Jacket,Western Wear,1467.78,1459.94
LST-0000160,MNT-0013,Festive Jacket,Western Wear,951.4,1067.46
LST-0000161,MNT-0013,Classic Skirt,Western Wear,737.67,743.74
LST-0000162,MNT-0013,Designer Dress,Western Wear,1967.09,2127.94
LST-0000163,MNT-0013,Sport T-Shirt,Western Wear,1499.48,1529.22
LST-0000164,MNT-0013,Festive Dress,Western Wear,1621.78,1683.39
LST-0000165,MNT-0013,Designer Jacket,Western Wear,1426.42,1343.56
LST-0000166,MNT-0013,Sport T-Shirt,Western Wear,1044.15,1011.14
LST-0000167,MNT-0014,Classic Sunglasses,Accessories,272.62,313.51
LST-0000168,MNT-0014,Classic Belt,Accessories,554.66,538.78
LST-0000169,MNT-0014,Signature Scarf,Accessories,472.99,488.14
LST-0000170,MNT-0014,Everyday Belt,Accessories,352.53,336.53
LST-0000171,MNT-0014,Premium Handbag,Accessories,762.78,732.6
LST-0000172,MNT-0014,Signature Sunglasses,Accessories,296.66,281.1
LST-0000173,MNT-0014,Festive Sunglasses,Accessories,513.54,565.13
LST-0000174,MNT-0015,Designer Sneakers,Footwear,1334.45,1311.78
LST-0000175,MNT-0015,Sport Sandals,Footwear,2341.84,2395.16
LST-0000176,MNT-0015,Festive Running Shoes,Footwear,1490.42,1545.97
LST-0000177,MNT-0015,Festive Sneakers,Footwear,1900.69,1879.87
LST-0000178,MNT-0015,Everyday Running Shoes,Footwear,581.49,590.57
LST-0000179,MNT-0016,Classic Kurta Set,Ethnic Wear,1523.73,1636.17
LST-0000180,MNT-0016,Premium Kurta Set,Ethnic Wear,1832.21,1576.17
LST-0000181,MNT-0016,Sport Sherwani,Ethnic Wear,1557.49,1323.87
LST-0000182,MNT-0016,Sport Anarkali,Ethnic Wear,903.2,924.52
LST-0000183,MNT-0016,Designer Sherwani,Ethnic Wear,1256.45,1162.44
LST-0000184,MNT-0016,Premium Saree,Ethnic Wear,1757.55,1787.02
LST-0000185,MNT-0016,Trendy Sherwani,Ethnic Wear,1082.77,988.31
LST-0000186,MNT-0016,Signature Kurta Set,Ethnic Wear,1337.32,1322.72
LST-0000187,MNT-0017,Sport Loafers,Footwear,2949.16,2981.53
LST-0000188,MNT-0017,Premium Loafers,Footwear,1496.21,1470.77
LST-0000189,MNT-0017,Casual Heels,Footwear,944.71,1036.28
LST-0000190,MNT-0017,Signature Sneakers,Footwear,1185.54,1096.41
LST-0000191,MNT-0017,Trendy Sneakers,Footwear,1885.93,1989.15
LST-0000192,MNT-0017,Festive Heels,Footwear,1983.39,2062.65
LST-0000193,MNT-0017,Premium Sneakers,Footwear,2730.41,2885.41
LST-0000194,MNT-0017,Casual Sneakers,Footwear,851.99,781.96
LST-0000195,MNT-0017,Casual Heels,Footwear,1596.01,1791.64
LST-0000196,MNT-0017,Classic Sneakers,Footwear,2379.95,2401.93
LST-0000197,MNT-0017,Everyday Sandals,Footwear,2973.58,3256.97
LST-0000198,MNT-0017,Trendy Running Shoes,Footwear,1014.74,1015.13
LST-0000199,MNT-0017,Signature Sandals,Footwear,1126.95,1279.4
LST-0000200,MNT-0017,Casual Running Shoes,Footwear,2336.25,2492.65
LST-0000201,MNT-0017,Casual Sandals,Footwear,1656.06,1870.57
LST-0000202,MNT-0017,Everyday Running Shoes,Footwear,1881.46,2014.18
LST-0000203,MNT-0017,Festive Loafers,Footwear,2233.13,2306.3
LST-0000204,MNT-0017,Everyday Heels,Footwear,1734.62,1709.1
LST-0000205,MNT-0017,Trendy Sandals,Footwear,1132.52,1262.69
LST-0000206,MNT-0017,Handcrafted Sneakers,Footwear,820.58,832.05
LST-0000207,MNT-0017,Sport Sandals,Footwear,1414.2,1393.11
LST-0000208,MNT-0017,Sport Loafers,Footwear,2021.36,2256.65
LST-0000209,MNT-0017,Everyday Sneakers,Footwear,2990.41,3048.71
LST-0000210,MNT-0017,Sport Sneakers,Footwear,1145.67,1235.63
LST-0000211,MNT-0018,Designer Saree,Ethnic Wear,2261.32,2312.01
LST-0000212,MNT-0018,Premium Sherwani,Ethnic Wear,1581.65,1627.26
LST-0000213,MNT-0018,Everyday Saree,Ethnic Wear,1095.42,1068.1
LST-0000214,MNT-0019,Designer Wallet,Accessories,560.35,519.86
LST-0000215,MNT-0019,Festive Belt,Accessories,699.35,777.74
LST-0000216,MNT-0019,Festive Sunglasses,Accessories,203.85,198.09
LST-0000217,MNT-0019,Premium Handbag,Accessories,575.81,619.62
LST-0000218,MNT-0019,Designer Belt,Accessories,521.16,484.43
LST-0000219,MNT-0019,Everyday Handbag,Accessories,338.34,389.09
LST-0000220,MNT-0019,Sport Belt,Accessories,508.55,506.69
LST-0000221,MNT-0019,Sport Scarf,Accessories,473.03,511.18
LST-0000222,MNT-0019,Premium Wallet,Accessories,781.72,776.08
LST-0000223,MNT-0019,Designer Sunglasses,Accessories,504.36,531.05
LST-0000224,MNT-0019,Signature Sunglasses,Accessories,637.55,678.33
LST-0000225,MNT-0019,Classic Handbag,Accessories,273.26,308.1
LST-0000226,MNT-0019,Sport Wallet,Accessories,647.36,705.33
LST-0000227,MNT-0019,Designer Handbag,Accessories,377.59,396.18
LST-0000228,MNT-0019,Premium Belt,Accessories,661.39,636.81
LST-0000229,MNT-0019,Trendy Handbag,Accessories,385.96,347.88
LST-0000230,MNT-0019,Everyday Scarf,Accessories,303.26,269.87
LST-0000231,MNT-0019,Casual Sunglasses,Accessories,785.16,826.67
LST-0000232,MNT-0019,Festive Belt,Accessories,563.33,586.64
LST-0000233,MNT-0019,Sport Sunglasses,Accessories,228.65,203.53
LST-0000234,MNT-0019,Classic Scarf,Accessories,649.47,591.99
LST-0000235,MNT-0019,Sport Wallet,Accessories,481.88,487.31
LST-0000236,MNT-0019,Casual Sunglasses,Accessories,617.36,650.35
LST-0000237,MNT-0020,Signature Jacket,Western Wear,1377.59,1268.59
LST-0000238,MNT-0020,Festive Jacket,Western Wear,1297.76,1376.93
LST-0000239,MNT-0020,Classic Skirt,Western Wear,759.67,706.54
LST-0000240,MNT-0020,Trendy T-Shirt,Western Wear,954.44,928.54
LST-0000241,MNT-0020,Premium Dress,Western Wear,1685.17,1451.92
LST-0000242,MNT-0020,Signature Dress,Western Wear,1306.07,1136.88
LST-0000243,MNT-0020,Handcrafted Skirt,Western Wear,807.23,864.81
LST-0000244,MNT-0020,Classic Jeans,Western Wear,1403.22,1207.32
LST-0000245,MNT-0020,Premium T-Shirt,Western Wear,1543.33,1558.69
LST-0000246,MNT-0020,Trendy T-Shirt,Western Wear,1728.18,1799.14
LST-0000247,MNT-0020,Classic Jeans,Western Wear,835.58,841.66
LST-0000248,MNT-0020,Sport Jeans,Western Wear,1878.72,1631.94
LST-0000249,MNT-0020,Classic Jacket,Western Wear,1190.09,1073.28
LST-0000250,MNT-0020,Classic Skirt,Western Wear,695.12,676.33
LST-0000251,MNT-0020,Everyday Jeans,Western Wear,1603.33,1843.83
LST-0000252,MNT-0020,Sport T-Shirt,Western Wear,1524.19,1466.9
LST-0000253,MNT-0020,Signature Jeans,Western Wear,1182.74,1164.03
LST-0000254,MNT-0020,Casual T-Shirt,Western Wear,1600.67,1686.02
LST-0000255,MNT-0020,Signature Skirt,Western Wear,1228.24,1136.16
LST-0000256,MNT-0020,Trendy Skirt,Western Wear,617.58,653.83
LST-0000257,MNT-0020,Handcrafted T-Shirt,Western Wear,802.74,911.48
LST-0000258,MNT-0020,Festive T-Shirt,Western Wear,1063.38,1006.57
LST-0000259,MNT-0020,Designer Dress,Western Wear,1462.18,1518.38
LST-0000260,MNT-0021,Premium Jeans,Western Wear,1019.82,965.84
LST-0000261,MNT-0021,Everyday Skirt,Western Wear,1055.37,915.76
LST-0000262,MNT-0021,Signature Jeans,Western Wear,1625.99,1515.1
LST-0000263,MNT-0021,Festive Dress,Western Wear,748.52,818.44
LST-0000264,MNT-0021,Casual Dress,Western Wear,1903.51,1887.43
LST-0000265,MNT-0021,Trendy T-Shirt,Western Wear,1424.13,1321.24
LST-0000266,MNT-0021,Casual T-Shirt,Western Wear,1100.72,1198.06
LST-0000267,MNT-0021,Casual T-Shirt,Western Wear,1238.71,1364.7
LST-0000268,MNT-0021,Classic Skirt,Western Wear,625.25,572.81
LST-0000269,MNT-0021,Premium Jacket,Western Wear,634.22,579.74
LST-0000270,MNT-0021,Festive Dress,Western Wear,1036.5,1102.35
LST-0000271,MNT-0021,Casual Jacket,Western Wear,1917.58,1812.07
LST-0000272,MNT-0021,Casual Dress,Western Wear,1155.3,1128.24
LST-0000273,MNT-0021,Casual T-Shirt,Western Wear,1971.88,2063.43
LST-0000274,MNT-0022,Handcrafted Loafers,Footwear,1942.65,1807.2
LST-0000275,MNT-0022,Signature Sandals,Footwear,1424.39,1486.78
LST-0000276,MNT-0022,Casual Loafers,Footwear,1861.35,1812.06
LST-0000277,MNT-0022,Classic Running Shoes,Footwear,818.18,756.49
LST-0000278,MNT-0022,Classic Sneakers,Footwear,503.21,502.17
LST-0000279,MNT-0022,Trendy Running Shoes,Footwear,1098.09,1118.44
LST-0000280,MNT-0022,Sport Sandals,Footwear,1356.13,1253.36
LST-0000281,MNT-0022,Sport Loafers,Footwear,2040.14,1982.83
LST-0000282,MNT-0022,Handcrafted Loafers,Footwear,1986.42,1936.36
LST-0000283,MNT-0022,Trendy Running Shoes,Footwear,2656.85,2832.64
LST-0000284,MNT-0022,Casual Sandals,Footwear,2552.55,2216.46
LST-0000285,MNT-0022,Festive Sneakers,Footwear,2084.15,2208.27
LST-0000286,MNT-0022,Festive Running Shoes,Footwear,1886.03,1939.63
LST-0000287,MNT-0022,Trendy Sandals,Footwear,1297.84,1254.73
LST-0000288,MNT-0022,Premium Loafers,Footwear,869.56,858.1
LST-0000289,MNT-0022,Designer Running Shoes,Footwear,2484.41,2414.56
